사용자질문,추천결과,정답Intent,추천방법,추천근거,정답여부,
출국장 이용하려면 오래 기다려야할까?,26,26,similarity,"[('출국장 이용하려면 많이 기다려야할까', 0.8717948717948718)]",TRUE,
출국체크하려는데 여권이 안보여,235,235,similarity,"[('출국하려는데 여권이 안보여요', 0.9032258064516129)]",TRUE,
탑승동에서 환승은 어떻게 함?,131,131,similarity,"[('탑승동에서 환승 어떻게 해?', 0.9032258064516129)]",TRUE,
탑승수속도움받을수있는 시간 언제야?,262,262,similarity,"[('탑승수속 받을수 있는 시간 언제야', 0.8648648648648649)]",TRUE,
터미널에서 탑승동으로 환승하는 길,131,131,similarity,"[('터미널에서 탑승동으로 환승하는 법', 0.9444444444444444)]",TRUE,
터미널별 취항사 안내해줘,18,18,similarity,"[('터미널의 취항사 안내해줘', 0.9230769230769231)]",TRUE,
토지소송 중 법정지상권 행사관련 내용 보기,144,144,similarity,"[('토지소송 중 지상권 관련 내용 보기', 0.9047619047619048)]",TRUE,
토지소유권침해금지가처분소송 중 사유지에 대해 논한 판례,12,12,similarity,"[('토지소유권침해금지가처분소송 중 사유지에 대한 판례', 0.9473684210526315)]",TRUE,
임금체불의 범위에 대해 판단한 대법원 판례 알려줘,47,47,similarity,"[('통상임금의 범위에 대해 판단한 대법원 판례 알려줘', 0.9259259259259259)]",TRUE,
티원 주차장 혼잡도 보여줘,146,146,similarity,"[('티원 단기주차장 혼잡도 보여줘', 0.9333333333333333), ('장기 주차장 혼잡도 보여줘', 0.8571428571428571)]",TRUE,
피켓 빌리려면 어디로 가야 ㅆㅅㅌㅊ?,183,183,similarity,"[('피켓 빌리려면 어디로 가야 해?', 0.8648648648648649)]",TRUE,
피켓 빌리리면 어디로 가야 댐?,183,183,similarity,"[('피켓 빌리려면 어디로 가야 해?', 0.8823529411764706)]",TRUE,
필수 서류 발급처가 어떻게 되나요?,40,40,similarity,"[('필수 서류들의 각 발급처가 어떻게 되나요?', 0.9047619047619048)]",TRUE,
한국방송공사를 상대로 청구한 수신료분리고지거부처분취소소송 관련 사례,93,93,similarity,"[('한국방송공사를 상대로 한 분리고지거부처분취소소송 사례', 0.8787878787878788)]",TRUE,
적법치 못한 허가반려처분에 대해 취소소송 제기한 판례 검색해줘,32,32,similarity,"[('합리적 근거없는 허가반려처분에 대해 취소소송 제기한 판례 검색해줘', 0.8571428571428571)]",TRUE,
현장통관 어떻게 하는지 순서 알려줘,84,84,similarity,"[('현장통관 어떻게 하는지 알려줘', 0.9142857142857143)]",TRUE,
현장통관 절차에대해 설명해줘,84,84,similarity,"[('현장통관에 대해 설명해줘', 0.8571428571428571)]",TRUE,
호텔 있나요,133,133,similarity,"[('호텔이 있나요', 0.9230769230769231)]",TRUE,
호텔이?있습니까,133,133,similarity,"[('호텔이 있습니까', 0.875)]",TRUE,
홈택스 완납 증명서를 발급받고 싶어요,9,9,similarity,"[('홈택스 완납 증명서를 발급받고 싶어', 0.9743589743589743)]",TRUE,
전기 화재 관련 추심금청구소송 판례,231,231,similarity,"[('화재 관련 추심금청구소송 판례', 0.9142857142857143), ('화재사건 관련 추심금청구소송 판례', 0.8648648648648649)]",TRUE,
화재건 구상금청구의 소 관련 승소 판결 내용?조회,127,127,similarity,"[('화재건 구상금청구의 소 관련 승소확정 판결문 조회', 0.8888888888888888)]",TRUE,
화재사고 관련 구상금청구의 소 제기 판례,127,127,similarity,"[('화재사고 관련 구상금청구소송 판례', 0.85)]",TRUE,
환승 데스크 어디로 갈 각?,59,59,similarity,"[('환승 데스크 어디로 가?', 0.8571428571428571)]",TRUE,
환승데스크 어디루 가?,59,59,similarity,"[('환승 데스크 어디로 가?', 0.88)]",TRUE,
환승투어 신청은 어디서 받나요?,113,113,similarity,"[('환승 투어 신청은 어디서 받아?', 0.8823529411764706)]",TRUE,
환승투어 신청은 어디가서 함?,113,113,similarity,"[('환승 투어 신청은 어디서 해?', 0.875)]",TRUE,
환승투어 신청 어디가서 해?,113,113,similarity,"[('환승투어 신청 어디서해?', 0.9285714285714286), ('환승 투어 신청은 어디서 해?', 0.9032258064516129), ('환승투어 신청서 어디서 써?', 0.8666666666666667)]",TRUE,
환승투어에 대해서 설명해줘,154,154,similarity,"[('환승투어 진행에 대해서 설명해줘', 0.9032258064516129), ('환승 투어 진행에 대해서 설명해줘', 0.875)]",TRUE,
환승 투어 코스 뭐뭐 있음?,158,158,similarity,"[('환승투어 코스 뭐뭐 있어?', 0.896551724137931), ('환승 투어 코스 뭐있어?', 0.8571428571428571)]",TRUE,
환승투어 출국심사 있어요?,16,16,similarity,"[('환승투어시에 출국심사 있어', 0.8571428571428571)]",TRUE,
환승투어할때 출국심사어케 받아?,16,16,similarity,"[('환승투어할때 출국심사 받아요?', 0.9090909090909091)]",TRUE,
환영객은 어디서 기다리쥬?,66,66,similarity,"[('환영객은 어디서 기다리나요?', 0.896551724137931)]",TRUE,
휴대품 신고서 각 칸에 뭐 쓰는거야?,111,111,similarity,"[('휴대품신고서에 뭐 쓰는거야?', 0.8571428571428571)]",TRUE,
텔레폰넘버 궁금해요,74,0,none,{},FALSE,
어디에 연락해야되?,0,0,cnn,{},TRUE,
문의처번호 알려줘,0,0,cnn,{},TRUE,
넘버가 궁금해요,74,0,none,{},FALSE,
알려주라 폰넘버,65,0,none,{},FALSE,
비상이야 연락해야 되는데 어디다 해,0,0,cnn,{},TRUE,
문의사항있는데 어디다 연락하면 좋을까?,258,0,none,{},FALSE,
문의는 어디에 해?,7,0,none,{},FALSE,
문의할 만한 곳 전화번호 알려줘,7,0,none,{},FALSE,
고객센터 번호 알려줘,0,0,cnn,{},TRUE,
불만사항은 어디에 말해,125,0,none,{},FALSE,
불편한 점 있는데 어디에 말해,28,0,none,{},FALSE,
공항에 문제있으면 어디로 연락해?,218,0,none,{},FALSE,
불만사항 접수는 어디다가 해,0,0,cnn,{},TRUE,
불만있는데 어디에 얘기해,7,0,none,{},FALSE,
공항 대표번호알려줘,218,0,none,{},FALSE,
수도관이 이상한거같은데 어디로문의해?,0,0,cnn,{},TRUE,
어떤거 타고 가야 되? 공항 갈때,1,1,cnn,{},TRUE,
어떻게 가야할까? 공항가고싶으면,1,1,cnn,{},TRUE,
공항까지 차타고 가면되?,1,1,cnn,{},TRUE,
가는길 어케되니 인천공항,1,1,cnn,{},TRUE,
인천공항으로 가려면 무슨방법이이있나요,1,1,cnn,{},TRUE,
어떤 대중교통 있어? 인천공항까지 갈,75,1,none,{},FALSE,
인천까지 갈때 뭐타고 가?,1,1,cnn,{},TRUE,
뭐타고 가면 되는건지 알려줘 공항까지,1,1,cnn,{},TRUE,
인천공항처음가보는데 무슨 교통편이용해야되나요,75,1,none,{},FALSE,
인천공항 어떻게 가는걸 추천하니?,1,1,cnn,{},TRUE,
경로 어떻게 되는지 보여줘 인천공할갈때,139,1,none,{},FALSE,
어떤식으로 갈수있게 되있나요 인천공항까지,1,1,cnn,{},TRUE,
인천공항 가는길 안내도와줘요,1,1,cnn,{},TRUE,
국제공항까지 갈수있는 길 알려줘요,1,1,cnn,{},TRUE,
뭐타고 가면 공항에 도착해?,1,1,cnn,{},TRUE,
국제공항 가기 쉬운 교통정보 ,75,1,none,{},FALSE,
공항가는길 검색해줘,1,1,cnn,{},TRUE,
인천공항 티투로가려면 어느 도로타야되?,131,1,none,{},FALSE,
인천공항은 어느방향으로 가면 되는거야?,1,1,cnn,{},TRUE,
자동차로 공항어떻게 가면되니,1,1,cnn,{},TRUE,
인천공항 가는거 처음이라 어떻게 가야하는지 모르겠어,1,1,cnn,{},TRUE,
온라인 청약 시 서류첨부와 관련된 정보를 찾아줘,2,2,cnn,{},TRUE,
온라인 청약 시 어떤 기준대로 서류를 첨부하지?,2,2,cnn,{},TRUE,
온라인 청약 시 서류 첨부는 어떤 기준을 따라?,2,2,cnn,{},TRUE,
온라인 청약할 때의 서류 첨부는 무슨 규정을 따르나요?,2,2,cnn,{},TRUE,
온라인 청약할 때 서류를 첨부는 어떤 방식이 권장돼?,2,2,cnn,{},TRUE,
채움공제 가입 신청하려는데 절차 좀 알려줘,3,3,cnn,{},TRUE,
공제 가입절차,3,3,cnn,{},TRUE,
내일채움공제 가입 단계가 어떻게 돼?,269,3,none,{},FALSE,
채움공제 가입 단계 설명해줘,269,3,none,{},FALSE,
왜 가입승인이 늦어지나요?,67,4,none,{},FALSE,
본부연결이 늦어지는 이유가 뭔가요?,4,4,cnn,{},TRUE,
승인이 늦어지는데 왜 이런건가요?,4,4,cnn,{},TRUE,
왜 지역본부 연결이 지연되는지 알고 싶어,4,4,cnn,{},TRUE,
가입승인 지연되는 문제,4,4,cnn,{},TRUE,
왜 본부연결이 연기되고 있는거죠? ,4,4,cnn,{},TRUE,
청약승인되려면 시간이 얼마나 드나요?,5,5,cnn,{},TRUE,
청약 승인은 어느 정도의 기간이 소요되나요 ,5,5,cnn,{},TRUE,
청약신청했는데 승인 얼마나 걸릴까요?,5,5,cnn,{},TRUE,
접수대기상태인데 승인되려면 몇 일이 걸리나요?,5,5,cnn,{},TRUE,
청약 신청 후 승인까지 소요시간,5,5,cnn,{},TRUE,
몇 일 걸려야 승인이 완료되나요?,5,5,cnn,{},TRUE,
수화물이 찌그러졌는데,135,6,none,{},FALSE,
캐리어가?망가졌는데 어쩌죠,6,6,cnn,{},TRUE,
수하물?훼손?됐으면?어디로 가야해?,6,6,cnn,{},TRUE,
맡겼던화물이?부서져있으면 수리해줘?,6,6,cnn,{},TRUE,
수하물손상이 심한데?어떡해?,135,6,none,{},FALSE,
항공수화물이?훼손된경우 뭘 해주나요,6,6,cnn,{},TRUE,
파손된?짐은?누가?책임져야해?,6,6,cnn,{},TRUE,
망가진수하물은?어떻게?보상받아?,6,6,cnn,{},TRUE,
해결해주는?곳?부서진짐,6,6,cnn,{},TRUE,
수화물이 중간에?훼손된거 같은데,6,6,cnn,{},TRUE,
가방손잡이가 끊어져있는데 보상해줘,254,6,none,{},FALSE,
보상신고하는법?수화물파손시,6,6,cnn,{},TRUE,
수화물이?파손됐는데?,6,6,cnn,{},TRUE,
수화물?망가진채 나오면 어쩌지,6,6,cnn,{},TRUE,
캐리어가?망가졌다고!,6,6,cnn,{},TRUE,
어떻게?알려요??파손화물,6,6,cnn,{},TRUE,
변상문의?화물?파손됐을때,6,6,cnn,{},TRUE,
수화물?부서진거?어디서?변상받아,24,6,none,{},FALSE,
수화물?파손에대해?보상신청할수있어?,6,6,cnn,{},TRUE,
수화물?파손되면?어디로?바로 가야하나요,6,6,cnn,{},TRUE,
훼손된?짐?배상신청?할래,245,6,none,{},FALSE,
수하물?파손된 경우에 나?어떻게해?,6,6,cnn,{},TRUE,
내?캐리어?망가진 채로?받았어요,6,6,cnn,{},TRUE,
내?캐리어가?망가져서?도착했어,6,6,cnn,{},TRUE,
부쳤던?캐리어가?망가졌을 때는?,6,6,cnn,{},TRUE,
출국?후?수화물이?망가진 걸 알게 됐어요,6,6,cnn,{},TRUE,
출국하고 나서?수화물?망가진거 알면?어떡해?,6,6,cnn,{},TRUE,
수화물?파손되면?어디에?연락하나요?,6,6,cnn,{},TRUE,
수화물?파손?시?어디에?얘기하나요?,6,6,cnn,{},TRUE,
수화물?망가졌으면?어떡해?,6,6,cnn,{},TRUE,
수화물?파손?됐으면?어디다?연락해서?신고하나요?,6,6,cnn,{},TRUE,
가방이?찢어지면?어디에?문의해야하나요?,28,6,none,{},FALSE,
캐리어가?망가졌는데?어디다?요청하나요?,6,6,cnn,{},TRUE,
내?짐?파손되면?,6,6,cnn,{},TRUE,
들고오던?꽃병이?깨졌어요?배상?받을?수?있나요?,107,6,none,{},FALSE,
비행기가 흔들리면서?도자기가?깨졌어요?배상?가능해요?,155,6,none,{},FALSE,
제1여객터미널 파리바게트 영업시간은?,7,7,cnn,{},TRUE,
가메골손만두 어디있어?,7,7,cnn,{},TRUE,
가족회관 어디있어?,123,7,none,{},FALSE,
1여객 스타벅스위치알려줘,7,7,cnn,{},TRUE,
공차 영업시간알려줘,7,7,cnn,{},TRUE,
던킨도너츠 어디있어?,7,7,cnn,{},TRUE,
KFC 영엉시간알려줘,7,7,cnn,{},TRUE,
놀부부대찌개 위치알려줘,85,7,none,{},FALSE,
니맛 영업시간알려줘,7,7,cnn,{},TRUE,
던킨도너츠 위치 어디야,7,7,cnn,{},TRUE,
던킨 커피하우스 위치 어디야,85,7,none,{},FALSE,
면채반 위치 안내해줘,7,7,cnn,{},TRUE,
스트릿 어딨는지 알려줘,7,7,cnn,{},TRUE,
제1여객 사누끼보레 위치는,85,7,none,{},FALSE,
사누끼보레 위치 알려줘,85,7,none,{},FALSE,
사누끼보레 위치,85,7,none,{},FALSE,
케이에프씨 위치 안내해줘,85,7,none,{},FALSE,
제일제면소 운영시간 안내해줘,7,7,cnn,{},TRUE,
리나스 연락처 알려줘,7,7,cnn,{},TRUE,
리나스 제2여객터미널 면세지역,7,7,cnn,{},TRUE,
무쇠화반 티원 일반지역,259,7,none,{},FALSE,
리나스 운영시간 안내해줘,7,7,cnn,{},TRUE,
스벅 어디써,7,7,cnn,{},TRUE,
포베이어딨어,7,7,cnn,{},TRUE,
포베이어디써,7,7,cnn,{},TRUE,
포베이 어딨어,7,7,cnn,{},TRUE,
하이네켄 어디써,7,7,cnn,{},TRUE,
손수헌 위치는,268,7,none,{},FALSE,
구비서류가 누락된 경우 인허가청구소송 관련 판례 찾아주세요,8,8,cnn,{},TRUE,
인허가청구신청 시 심의?기간은 얼마나 걸리나요?,8,8,cnn,{},TRUE,
인허가청구신청의 관할기관은 어디인가요?,8,8,cnn,{},TRUE,
인허가청구신청에 대한 심사기준에 대한 판례 보여줘,8,8,cnn,{},TRUE,
행정청이 인허가신청에 거부할 수 없는 경우에 대해 서술한 판례 찾아줘,8,8,cnn,{},TRUE,
법령에 위배되는 인허가청구신청 관련 판례 보여줘,8,8,cnn,{},TRUE,
공익에 중대한 피해가 예상되는 경우 인허가청구소송 관련 판례 알려줘,8,8,cnn,{},TRUE,
행정청이 인허가신청에 거부할 수 있는 경우에 대해 명시한 판례 검색해줘,8,8,cnn,{},TRUE,
관련없는 타 법령 잘못 적용한 경우 인허가청구소송 관련 판례 알려주세요,8,8,cnn,{},TRUE,
공공복리 증진을 위한 인허가청구 관련 소송 판례 보기,8,8,cnn,{},TRUE,
서류제출 미비로 인한 인허가청구소송 관련 판례 알려줘,8,8,cnn,{},TRUE,
인허가청구소송의 적용 법령에 대한 대법원 판례 보여줘,8,8,cnn,{},TRUE,
청구권의 범위에 대해 논한 인허가청구소송 관련 대법원 판례 검색해주세요,8,8,cnn,{},TRUE,
인허가청구소송의 심사기준에 대한 대법원 판례 알려주세요,8,8,cnn,{},TRUE,
비례의 원칙에 대해 명시한 인허가청구소송 관련 대법원 판례문 보기,8,8,cnn,{},TRUE,
형평성이 어긋난 인허가청구소송에 대한 판례 검색해줘,8,8,cnn,{},TRUE,
인허가청구소송의 절차에 대한 대법원 판례 보여주세요,8,8,cnn,{},TRUE,
